Image_ID,Degradation,Dataset,input_path,gt_path,noise_sigma
R037,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-037.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-037.png,
R038,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-038.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-038.png,
R039,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-039.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-039.png,
R040,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-040.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-040.png,
R041,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-041.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-041.png,
R042,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-042.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-042.png,
R043,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-043.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-043.png,
R044,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-044.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-044.png,
R045,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-045.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-045.png,
R046,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-046.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-046.png,
R047,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-047.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-047.png,
R048,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-048.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-048.png,
R049,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-049.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-049.png,
R050,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-050.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-050.png,
R051,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-051.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-051.png,
R052,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-052.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-052.png,
R053,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-053.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-053.png,
R054,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-054.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-054.png,
R055,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-055.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-055.png,
R056,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-056.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-056.png,
R057,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-057.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-057.png,
R058,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-058.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-058.png,
R059,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-059.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-059.png,
R060,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-060.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-060.png,
R061,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-061.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-061.png,
R062,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-062.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-062.png,
R063,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-063.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-063.png,
R064,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-064.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-064.png,
R065,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-065.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-065.png,
R066,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-066.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-066.png,
R067,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-067.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-067.png,
R068,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-068.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-068.png,
R069,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-069.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-069.png,
R070,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-070.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-070.png,
R071,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-071.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-071.png,
R072,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-072.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-072.png,
R073,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-073.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-073.png,
R074,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-074.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-074.png,
R075,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-075.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-075.png,
R076,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-076.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-076.png,
R077,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-077.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-077.png,
R078,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-078.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-078.png,
R079,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-079.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-079.png,
R080,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-080.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-080.png,
R081,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-081.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-081.png,
R082,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-082.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-082.png,
R083,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-083.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-083.png,
R084,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-084.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-084.png,
R085,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-085.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-085.png,
R086,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-086.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-086.png,
R087,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-087.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-087.png,
R088,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-088.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-088.png,
R089,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-089.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-089.png,
R090,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-090.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-090.png,
R091,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-091.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-091.png,
R092,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-092.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-092.png,
R093,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-093.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-093.png,
R094,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-094.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-094.png,
R095,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-095.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-095.png,
R096,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-096.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-096.png,
R097,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-097.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-097.png,
R098,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-098.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-098.png,
R099,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-099.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-099.png,
R100,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-100.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-100.png,
H001,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0001_0.8_0.2.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0001.png,
H002,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0002_0.8_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0002.png,
H003,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0003_0.8_0.2.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0003.png,
H004,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0004_0.9_0.12.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0004.png,
H005,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0006_0.85_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0006.png,
H006,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0007_0.9_0.16.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0007.png,
H007,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0009_0.8_0.16.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0009.png,
H008,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0010_0.95_0.16.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0010.png,
H009,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0011_0.95_0.16.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0011.png,
H010,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0014_0.8_0.12.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0014.png,
H011,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0016_0.8_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0016.png,
H012,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0017_0.9_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0017.png,
H013,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0018_0.9_0.2.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0018.png,
H014,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0019_0.8_0.16.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0019.png,
H015,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0021_0.8_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0021.png,
H016,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0022_0.8_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0022.png,
H017,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0023_0.85_0.12.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0023.png,
H018,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0024_0.85_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0024.png,
H019,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0025_0.8_0.16.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0025.png,
H020,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0026_0.95_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0026.png,
H021,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0029_0.85_0.08.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0029.png,
H022,Haze,SOTS-outdoor,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/input/0030_0.95_0.12.jpg,/home/minura/fyp-adair-distill/data/dehaze/RESIDE/SOTS/outdoor/target/0030.png,
